ID,Layer,Feature,User Story,Expected Behavior (from code),Status,Result,Notes
T01,MCP Tool,open_docs,"As an AI, I open the docs so the home page (or a given path) loads in both the headless browser and the VSCode pane.","No path => resolves '/' against docs baseUrl; engine.goto loads it; pane.show mirrors; returns 'Loaded <url>' + 'Title: <title>' (+ '(HTTP <status>)' on >=400).",Re-tested,PASS,"Live: loaded home (port 61213). Shares B2 fix (HTTP-status note via shared goto path)."
T02,MCP Tool,navigate,"As an AI, I navigate to a specific doc page; both headless browser and pane move there.","Requires path; resolves to absolute URL; engine.goto + pane.show; returns 'Loaded <url>' + title (+ '(HTTP <status>)' on >=400).",Re-tested,PASS,"Live nav + sync OK. B2 FIXED + live-verified: navigate to 404 appends '(HTTP 404)', 200 pages stay clean."
T03,MCP Tool,get_page_title,"As an AI, I confirm where I landed by reading the current title + URL.","Returns 'Title: <title or (none)>' + 'URL: <url>'.",Tested,PASS,Live OK.
T04,MCP Tool,get_page_text,"As an AI, I read the rendered visible text of the current page.","Returns innerText of body, or '(no text)'.",Tested,PASS,"Live OK. 'Homestringsnumbers' run-together is sample-doc nav markup, not a tool defect."
T05,MCP Tool,get_links,"As an AI, I list the links (anchor text + resolved href) on the current page.","Returns '- <text> -> <href>' per anchor[href], or '(no links)'.",Tested,PASS,"Live OK. Duplicate entries = page links each module twice; faithful to DOM."
T06,MCP Tool,list_pages,"As an AI, I list all HTML pages available in the docs directory.","Walks docsDir on disk; sorted '- <relpath>' for .html/.htm.",Tested,PASS,Live: 3 pages listed.
T07,MCP Tool,screenshot,"As an AI, I capture a PNG (viewport / full-page / one element), optionally saved to disk.","viewport default; fullPage; selector; savePath writes file + appends 'Saved screenshot to <abs>'.",Tested,PASS,"All 4 modes live: viewport, selector(h1 cropped), fullPage, savePath wrote valid 1280x800 PNG."
T08,MCP Tool,read_console,"As an AI, I read console messages/errors since last navigation.","'[<type>] <text> (<location>)' or '(no console messages)'.",Tested,PASS,"Live clean on good page; integration test catches console.error."
T09,MCP Tool,read_network,"As an AI, I find broken assets / failed requests on the current page.","Filters failed or status>=400; 'FAILED|<status> <method> <url>'.",Tested,PASS,"Live caught '404 GET .../does-not-exist.html'."
T10,MCP Tool,check_links,"As an AI, I crawl the doc set to find broken links and orphan pages.","Crawl from startPath; 'Visited N page(s).' + broken + orphans.",Tested,PASS,"Live clean (4 visits). Integration flags planted broken + orphan. Minor: '/' and '/index.html' counted as 2 visits (defensible)."
T11,MCP Tool,click,"As an AI, I click an element by CSS selector or visible text; pane follows if it navigates.","selector or getByText(text).first(); 'Navigated to'/'Clicked; still at'; errors if neither arg.",Re-tested,PASS,"B1 FIXED: selector now uses .first(). Re-verified LIVE (a[href*=strings] -> navigated to strings.html) + automated regression. text + no-arg paths still PASS."
T12,MCP Tool,pane_state,"As an AI, I inspect pane state for sync confirmation/debugging.","JSON: panelExists, requestedUrl, preflightStatus, webviewLoaded, events[].",Tested,PASS,"Live OK; preflightStatus tracks 200 and 404 correctly."
T13,MCP Tool,reload,"As an AI, I reload the current page after regenerating docs.","engine.reload + pane.reload; 'Reloaded <url>' (+ '(HTTP <status>)' on >=400).",Re-tested,PASS,"Live OK. B2 fix: reload on a 404 appends '(HTTP 404)' (automated regression green)."
T14,MCP Tool,back,"As an AI, I go back in history; pane follows.","engine.back; 'No back history.' or 'Back: <url>' (+ '(HTTP <status>)' on >=400).",Re-tested,PASS,"Live OK; B2 status note threaded through back."
T15,MCP Tool,forward,"As an AI, I go forward in history; pane follows.","engine.forward; 'No forward history.' or 'Forward: <url>' (+ '(HTTP <status>)' on >=400).",Re-tested,PASS,"Live OK; B2 status note threaded through forward."
U01,VSCode UI,Activity bar container,"As a human, I see a 'Docs Browser' icon in the activity bar.","viewsContainers.activitybar 'docsBrowser' with media/docs.svg.",Tested,PASS,media/docs.svg present; wiring OK; visually confirmed prior session.
U02,VSCode UI,Documentation tree view,"As a human, I see a list of all HTML doc pages in the sidebar.","TreeDataProvider lists OPEN_ITEM + sorted .html files (recursive).",Tested,PASS,Logic verified; list_pages live confirms file discovery.
U03,VSCode UI,Open Docs Browser (row/command),"As a human, I click 'Open Docs Browser' to open the home page.","docsBrowser.open (no arg) => '/' => engine.goto + pane.show.",Tested,PASS,"Handler == open_docs path (verified live)."
U04,VSCode UI,Open a specific page,"As a human, I click a page in the tree to open it.","Tree item passes relpath => docsBrowser.open(relpath).",Tested,PASS,"Handler == navigate path (verified live)."
